# BLASTP 2.2.25 [Feb-01-2011]
# Query: gi|11386135|ref|NP_000700.1| 2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial isoform 1 precursor [Homo sapiens]
# Database: /mnt/project/pracstrucfunc13/data/big/big_80
# Fields: Query id, Subject id, % identity, alignment length, mismatches, gap openings, q. start, q. end, s. start, s. end, e-value, bit score
gi|11386135|ref|NP_000700.1|	tr|B4DP47|B4DP47_HUMAN	90.00	470	0	2	1	445	1	448	0.0	 820
gi|11386135|ref|NP_000700.1|	tr|H2NYX7|H2NYX7_PONAB	95.35	409	3	1	37	445	71	463	0.0	 771
gi|11386135|ref|NP_000700.1|	tr|G7PXN6|G7PXN6_MACFA	96.37	413	11	1	37	445	71	483	0.0	 763
gi|11386135|ref|NP_000700.1|	pdb|pdb|2bfe_A	93.92	395	4	1	51	445	1	375	0.0	 730
gi|11386135|ref|NP_000700.1|	tr|H2L9X9|H2L9X9_ORYLA	81.48	405	75	0	41	445	45	449	0.0	 689
gi|11386135|ref|NP_000700.1|	tr|E7ESE6|E7ESE6_HUMAN	98.11	317	6	0	1	317	1	317	0.0	 608
gi|11386135|ref|NP_000700.1|	tr|C3ZXF5|C3ZXF5_BRAFL	71.57	408	113	1	41	445	6	413	0.0	 603
gi|11386135|ref|NP_000700.1|	tr|E9G7A7|E9G7A7_DAPPU	68.49	403	126	1	43	445	31	432	0.0	 590
gi|11386135|ref|NP_000700.1|	tr|B7PL03|B7PL03_IXOSC	63.59	423	144	1	31	443	23	445	0.0	 547
gi|11386135|ref|NP_000700.1|	tr|C1BZX0|C1BZX0_9MAXI	65.08	398	138	1	49	445	34	431	0.0	 539
gi|11386135|ref|NP_000700.1|	tr|A7RZV6|A7RZV6_NEMVE	65.91	396	133	2	48	441	44	439	0.0	 531
gi|11386135|ref|NP_000700.1|	tr|F7G384|F7G384_ORNAN	67.72	412	121	5	42	445	4	411	0.0	 525
gi|11386135|ref|NP_000700.1|	tr|A8XMR6|A8XMR6_CAEBR	63.28	384	139	2	59	441	42	424	1e-178	 511
gi|11386135|ref|NP_000700.1|	tr|D6X542|D6X542_TRICA	59.45	397	159	1	48	444	25	419	1e-177	 508
gi|11386135|ref|NP_000700.1|	tr|E9C2J8|E9C2J8_CAPO3	63.61	393	142	1	54	445	44	436	6e-176	 505
gi|11386135|ref|NP_000700.1|	tr|F1L131|F1L131_ASCSU	62.05	390	147	1	54	443	46	434	7e-175	 502
gi|11386135|ref|NP_000700.1|	tr|B3M2F8|B3M2F8_DROAN	57.70	409	169	3	39	443	29	437	3e-172	 496
gi|11386135|ref|NP_000700.1|	tr|F7BCV4|F7BCV4_CIOIN	59.49	395	159	1	47	440	42	436	2e-170	 491
gi|11386135|ref|NP_000700.1|	tr|D3TLU5|D3TLU5_GLOMM	58.06	391	163	1	54	443	40	430	3e-169	 488
gi|11386135|ref|NP_000700.1|	tr|E4X0I4|E4X0I4_OIKDI	58.42	392	162	1	55	445	25	416	1e-167	 483
gi|11386135|ref|NP_000700.1|	tr|E0VYR3|E0VYR3_PEDHC	63.34	371	135	1	74	443	52	422	1e-166	 481
gi|11386135|ref|NP_000700.1|	tr|B2DBJ6|B2DBJ6_9NEOP	60.71	392	152	2	53	443	38	428	2e-165	 478
gi|11386135|ref|NP_000700.1|	tr|G6CNN1|G6CNN1_DANPL	60.51	390	153	1	54	443	40	428	4e-165	 478
gi|11386135|ref|NP_000700.1|	tr|Q7PQR1|Q7PQR1_ANOGA	56.64	429	176	5	25	445	17	443	7e-164	 474
gi|11386135|ref|NP_000700.1|	tr|B4JFE6|B4JFE6_DROGR	59.24	395	158	3	54	445	45	439	5e-163	 472
gi|11386135|ref|NP_000700.1|	tr|B0WYQ0|B0WYQ0_CULQU	58.93	392	160	1	53	443	45	436	2e-162	 471
gi|11386135|ref|NP_000700.1|	tr|B3S5B4|B3S5B4_TRIAD	66.28	341	115	0	105	445	1	341	6e-162	 466
gi|11386135|ref|NP_000700.1|	tr|F4NVJ5|F4NVJ5_BATDJ	59.33	386	154	2	54	438	7	390	3e-158	 459
gi|11386135|ref|NP_000700.1|	tr|G3RDZ3|G3RDZ3_GORGO	99.53	213	1	0	233	445	213	425	3e-156	 454
gi|11386135|ref|NP_000700.1|	tr|G3RDZ3|G3RDZ3_GORGO	99.19	124	1	0	37	160	71	194	2e-78	 255
gi|11386135|ref|NP_000700.1|	tr|A9VBA8|A9VBA8_MONBE	53.95	430	184	4	13	441	6	422	1e-155	 453
gi|11386135|ref|NP_000700.1|	tr|A8ND88|A8ND88_BRUMA	62.65	340	126	1	105	444	1	339	7e-154	 445
gi|11386135|ref|NP_000700.1|	tr|F4PWL2|F4PWL2_DICFS	57.92	385	159	2	60	443	47	429	1e-153	 448
gi|11386135|ref|NP_000700.1|	tr|H2KSE2|H2KSE2_CLOSI	62.06	340	129	0	105	444	1	340	7e-152	 440
gi|11386135|ref|NP_000700.1|	tr|E9ISX8|E9ISX8_SOLIN	51.52	429	191	4	30	443	3	429	1e-150	 441
gi|11386135|ref|NP_000700.1|	tr|F1L8Y8|F1L8Y8_ASCSU	56.43	381	165	1	61	441	45	424	5e-150	 439
gi|11386135|ref|NP_000700.1|	tr|G1XTL2|G1XTL2_ARTOA	52.74	419	189	4	29	444	60	472	8e-146	 430
gi|11386135|ref|NP_000700.1|	tr|F0ZUJ1|F0ZUJ1_DICPU	55.01	369	165	1	76	443	72	440	3e-145	 427
gi|11386135|ref|NP_000700.1|	tr|E1ZBL6|E1ZBL6_CHLVA	51.92	391	184	3	54	441	3	392	2e-142	 418
gi|11386135|ref|NP_000700.1|	tr|D5GFL7|D5GFL7_TUBMM	51.21	414	198	2	33	445	35	445	1e-141	 418
gi|11386135|ref|NP_000700.1|	tr|C4JH29|C4JH29_UNCRE	53.56	407	174	5	46	438	31	436	2e-141	 417
gi|11386135|ref|NP_000700.1|	tr|D3AZG6|D3AZG6_POLPA	55.81	387	166	3	62	443	68	454	1e-140	 416
gi|11386135|ref|NP_000700.1|	tr|Q6C9S7|Q6C9S7_YARLI	52.81	392	184	1	54	444	63	454	4e-140	 415
gi|11386135|ref|NP_000700.1|	tr|E5S9U2|E5S9U2_TRISP	53.70	378	174	1	54	431	300	676	4e-140	 422
gi|11386135|ref|NP_000700.1|	tr|F2Q107|F2Q107_TRIEC	51.01	447	199	6	10	444	3	441	1e-139	 413
gi|11386135|ref|NP_000700.1|	tr|B6GYK7|B6GYK7_PENCW	52.28	438	189	7	21	440	2	437	8e-139	 411
gi|11386135|ref|NP_000700.1|	tr|F7VMT0|F7VMT0_SORMK	51.07	419	192	4	39	444	49	467	1e-138	 412
